epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,85.0032,1.36266,0.7567,1.16559,0.87365,0.92194,0.95351,0.59564,1.3371,0.73273,1.1818,0.00180844,0.00180844,0.00180844
162,85.4675,1.34371,0.76348,1.1697,0.91574,0.92218,0.95794,0.60869,1.30979,0.71893,1.16934,0.00175535,0.00175535,0.00175535
163,85.9365,1.35002,0.76349,1.17828,0.93157,0.90764,0.95954,0.61468,1.30598,0.72415,1.16468,0.00170293,0.00170293,0.00170293
164,86.4167,1.37161,0.7646,1.18253,0.95086,0.89091,0.95813,0.59342,1.33786,0.73344,1.18061,0.0016512,0.0016512,0.0016512
165,86.883,1.44072,0.8557,1.30887,0.94305,0.90326,0.96059,0.61594,1.29433,0.7247,1.16858,0.00160016,0.00160016,0.00160016
166,87.3627,1.3348,0.76492,1.1593,0.93856,0.93333,0.96038,0.61999,1.29235,0.72118,1.16509,0.00154982,0.00154982,0.00154982
167,87.8463,1.33061,0.75871,1.15666,0.94429,0.89697,0.95878,0.60304,1.34118,0.73444,1.18076,0.0015002,0.0015002,0.0015002
168,88.3186,1.33607,0.76547,1.2088,0.92457,0.94545,0.95863,0.61435,1.29824,0.7138,1.16524,0.0014513,0.0014513,0.0014513
169,88.7873,1.42123,0.75815,1.16753,0.90881,0.93939,0.9596,0.59433,1.35728,0.72519,1.18331,0.00140313,0.00140313,0.00140313
170,89.2679,1.34203,0.77848,1.19425,0.91761,0.94496,0.95781,0.61171,1.29511,0.71605,1.16026,0.00135571,0.00135571,0.00135571
171,89.7338,1.29703,0.74996,1.16381,0.90568,0.94545,0.95907,0.61628,1.28237,0.70585,1.15649,0.00130904,0.00130904,0.00130904
172,90.2,1.32801,0.76039,1.19094,0.92944,0.94545,0.96004,0.62277,1.2682,0.70821,1.15369,0.00126313,0.00126313,0.00126313
173,90.6812,1.31278,0.75219,1.16135,0.92452,0.93333,0.9602,0.62657,1.26013,0.70913,1.14951,0.001218,0.001218,0.001218
174,91.1712,1.34168,0.75326,1.16767,0.92729,0.92757,0.96032,0.62325,1.27829,0.71006,1.15507,0.00117365,0.00117365,0.00117365
175,91.6364,1.39312,0.78696,1.20152,0.91145,0.93571,0.95878,0.60731,1.31306,0.71202,1.16632,0.00113008,0.00113008,0.00113008
176,92.1048,1.36055,0.74898,1.13958,0.95447,0.88933,0.95776,0.58836,1.36915,0.7366,1.18717,0.00108732,0.00108732,0.00108732
177,92.5747,1.38414,0.78234,1.1891,0.91661,0.93333,0.95766,0.60789,1.32497,0.72228,1.17156,0.00104537,0.00104537,0.00104537
178,93.0821,1.3371,0.77331,1.21148,0.93304,0.92727,0.95935,0.62647,1.26963,0.70435,1.14988,0.00100423,0.00100423,0.00100423
